Date,Value
1993-06-30,68.31
1993-05-31,66.6
1993-04-30,63.73
1993-03-31,65.6
1993-02-28,62.98
1993-01-31,59.14
1992-12-31,53.17
1992-11-30,56.06
1992-10-31,53.76
1992-09-30,53.85
1992-08-31,65.62
1992-07-31,61.04
1992-06-30,60.98
1992-05-31,64.16
1992-04-30,50.26
1992-03-31,52.38
1992-02-29,54.73
1992-01-31,51.77
1991-12-31,52.89
1991-11-30,55.73
1991-10-31,59.99
1991-09-30,73.21
1991-08-31,77.79
1991-07-31,92.26
1991-06-30,104.81
1991-05-31,106.93
1991-04-30,107.66
1991-03-31,109.88
1991-02-28,106.67
1991-01-31,120.18
1990-12-31,106.5
1990-11-30,110.74
1990-10-31,113.63
1990-09-30,95.68
1990-08-31,93.97
1990-07-31,96.19
1990-06-30,121.46
1990-05-31,115.68
1990-04-30,99.64
1990-03-31,79.91
1990-02-28,80.0
1990-01-31,93.15
1989-12-31,80.19
1989-11-30,96.26
1989-10-31,70.37
1989-09-30,64.98
1989-08-31,53.64
1989-07-31,57.08
1989-06-30,58.21
1989-05-31,54.94
1989-04-30,47.69
1989-03-31,57.06
1989-02-28,58.62
1989-01-31,68.12
1988-12-31,65.87
1988-11-30,62.86
1988-10-31,65.06
1988-09-30,62.81
1988-08-31,70.94
1988-07-31,75.57
1988-06-30,84.53
1988-05-31,87.78
1988-04-30,81.88
1988-03-31,85.71
1988-02-29,91.25
1988-01-31,96.25
1987-12-31,79.8
1987-11-30,87.04
1987-10-31,94.22
1987-09-30,111.19
1987-08-31,149.76
1987-07-31,156.72
1987-06-30,146.25
1987-05-31,125.18
1987-04-30,123.24
1987-03-31,113.44
1987-02-28,108.71
1987-01-31,124.39
1986-12-31,121.37
1986-11-30,118.48
1986-10-31,114.08
1986-09-30,139.07
1986-08-31,168.01
1986-07-31,170.24
1986-06-30,136.71
1986-05-31,116.24
1986-04-30,91.34
1986-03-31,95.17
1986-02-28,96.81
1986-01-31,115.06
1985-12-31,109.35
1985-11-30,97.67
1985-10-31,98.48
1985-09-30,97.73
1985-08-31,105.88
1985-07-31,119.75
1985-06-30,131.84
1985-05-31,108.58
1985-04-30,110.55
1985-03-31,120.84
1985-02-28,121.76
1985-01-31,126.53
1984-12-31,121.72
1984-11-30,112.51
1984-10-31,99.53
1984-09-30,112.6
1984-08-31,116.49
1984-07-31,120.13
1984-06-30,127.21
1984-05-31,107.49
1984-04-30,112.11
1984-03-31,104.38
1984-02-29,103.0
1984-01-31,120.33
1983-12-31,101.56
1983-11-30,96.85
1983-10-31,92.75
1983-09-30,105.41
1983-08-31,124.82
1983-07-31,111.75
1983-06-30,114.36
1983-05-31,113.63
1983-04-30,122.63
1983-03-31,122.98
1983-02-28,137.57
1983-01-31,151.54
1982-12-31,138.57
1982-11-30,135.52
1982-10-31,141.55
1982-09-30,172.53
1982-08-31,178.24
1982-07-31,158.28
1982-06-30,143.5
1982-05-31,151.54
1982-04-30,139.41
1982-03-31,124.9
1982-02-28,126.94
1982-01-31,117.35
1981-12-31,95.83
1981-11-30,105.35
1981-10-31,105.3
1981-09-30,113.59
1981-08-31,110.38
1981-07-31,102.37
1981-06-30,105.26
1981-05-31,85.2
1981-04-30,92.34
1981-03-31,76.68
1981-02-28,93.33
1981-01-31,92.77
1980-12-31,102.33
1980-11-30,112.69
1980-10-31,108.96
1980-09-30,101.18
1980-08-31,102.72
1980-07-31,84.68
1980-06-30,62.47
1980-05-31,54.9
1980-04-30,51.86
1980-03-31,65.0
1980-02-29,65.53
1980-01-31,72.42
