Date,Value
2005-05-31,233.46
2005-04-30,228.76
2005-03-31,233.18
2005-02-28,197.59
2005-01-31,195.66
2004-12-31,198.62
2004-11-30,195.84
2004-10-31,193.45
2004-09-30,206.47
2004-08-31,225.81
2004-07-31,289.82
2004-06-30,320.69
2004-05-31,347.91
2004-04-30,363.55
2004-03-31,360.72
2004-02-29,316.58
2004-01-31,300.94
2003-12-31,283.21
2003-11-30,279.74
2003-10-31,269.01
2003-09-30,231.72
2003-08-31,208.24
2003-07-31,214.05
2003-06-30,229.81
2003-05-31,232.43
2003-04-30,221.72
2003-03-31,210.24
2003-02-28,209.64
2003-01-31,208.68
2002-12-31,208.24
2002-11-30,210.22
2002-10-31,200.09
2002-09-30,208.22
2002-08-31,208.22
2002-07-31,209.09
2002-06-30,185.37
2002-05-31,176.64
2002-04-30,171.36
2002-03-31,168.69
2002-02-28,160.2
2002-01-31,160.06
2001-12-31,160.15
2001-11-30,162.56
2001-10-31,160.63
2001-09-30,172.35
2001-08-31,182.75
2001-07-31,186.65
2001-06-30,170.23
2001-05-31,163.87
2001-04-30,158.61
2001-03-31,164.38
2001-02-28,167.45
2001-01-31,175.42
2000-12-31,185.96
2000-11-30,177.19
2000-10-31,173.61
2000-09-30,180.45
2000-08-31,167.87
2000-07-31,169.5
2000-06-30,186.95
2000-05-31,200.87
2000-04-30,197.1
2000-03-31,190.97
2000-02-29,185.76
2000-01-31,180.38
1999-12-31,169.96
1999-11-30,171.2
1999-10-31,178.18
1999-09-30,180.64
1999-08-31,172.0
1999-07-31,158.31
1999-06-30,170.0
1999-05-31,171.45
1999-04-30,177.54
1999-03-31,175.06
1999-02-28,179.67
1999-01-31,195.04
1998-12-31,204.91
1998-11-30,209.9
1998-10-31,200.76
1998-09-30,193.34
1998-08-31,202.25
1998-07-31,232.43
1998-06-30,231.12
1998-05-31,236.15
1998-04-30,235.09
1998-03-31,240.12
1998-02-28,247.42
1998-01-31,246.0
1997-12-31,254.59
1997-11-30,265.43
1997-10-31,250.75
1997-09-30,255.21
1997-08-31,267.59
1997-07-31,281.16
1997-06-30,304.77
1997-05-31,319.84
1997-04-30,313.36
1997-03-31,305.88
1997-02-28,280.54
1997-01-31,268.1
1996-12-31,257.16
1996-11-30,255.28
1996-10-31,259.8
1996-09-30,297.49
1996-08-31,296.3
1996-07-31,288.77
1996-06-30,284.61
1996-05-31,295.52
1996-04-30,290.42
1996-03-31,265.78
1996-02-29,268.26
1996-01-31,270.12
1995-12-31,263.96
1995-11-30,249.74
1995-10-31,240.99
1995-09-30,232.59
1995-08-31,218.92
1995-07-31,226.92
1995-06-30,216.65
1995-05-31,211.64
1995-04-30,211.27
1995-03-31,209.35
1995-02-28,203.65
1995-01-31,202.5
1994-12-31,206.38
1994-11-30,205.39
1994-10-31,198.71
1994-09-30,207.88
1994-08-31,214.1
1994-07-31,223.24
1994-06-30,249.61
1994-05-31,250.23
1994-04-30,242.76
1994-03-31,250.55
1994-02-28,249.68
1994-01-31,255.6
1993-12-31,252.52
1993-11-30,243.93
1993-10-31,226.09
1993-09-30,236.06
1993-08-31,246.64
1993-07-31,258.84
1993-06-30,221.91
1993-05-31,221.49
1993-04-30,217.68
1993-03-31,214.12
1993-02-28,210.03
1993-01-31,212.33
1992-12-31,208.91
1992-11-30,205.21
1992-10-31,197.68
1992-09-30,202.89
1992-08-31,202.87
1992-07-31,208.1
1992-06-30,224.39
1992-05-31,220.37
1992-04-30,211.3
1992-03-31,216.14
1992-02-29,211.16
1992-01-31,208.61
1991-12-31,204.15
1991-11-30,205.67
1991-10-31,205.74
1991-09-30,216.24
1991-08-31,208.08
1991-07-31,199.1
1991-06-30,208.86
1991-05-31,210.65
1991-04-30,215.89
1991-03-31,213.32
1991-02-28,210.13
1991-01-31,207.51
1990-12-31,213.87
1990-11-30,211.85
1990-10-31,224.8
1990-09-30,226.92
1990-08-31,222.71
1990-07-31,222.46
1990-06-30,221.06
1990-05-31,228.32
1990-04-30,220.67
1990-03-31,218.28
1990-02-28,208.45
1990-01-31,209.83
1989-12-31,211.46
1989-11-30,211.62
1989-10-31,206.41
1989-09-30,213.55
1989-08-31,220.6
1989-07-31,251.01
1989-06-30,254.82
1989-05-31,264.12
1989-04-30,270.99
1989-03-31,286.01
1989-02-28,280.5
1989-01-31,292.76
1988-12-31,290.72
1988-11-30,281.53
1988-10-31,291.25
1988-09-30,311.82
1988-08-31,312.44
1988-07-31,322.14
1988-06-30,344.37
1988-05-31,269.86
1988-04-30,246.94
1988-03-31,230.8
1988-02-29,227.35
1988-01-31,227.47
1987-12-31,218.95
1987-11-30,207.46
1987-10-31,197.84
1987-09-30,192.76
1987-08-31,190.83
1987-07-31,198.6
1987-06-30,205.81
1987-05-31,203.21
1987-04-30,188.56
1987-03-31,179.95
1987-02-28,179.88
1987-01-31,182.22
1986-12-31,180.75
1986-11-30,183.67
1986-10-31,177.01
1986-09-30,177.77
1986-08-31,183.44
1986-07-31,193.64
1986-06-30,194.1
1986-05-31,196.07
1986-04-30,194.07
1986-03-31,196.46
1986-02-28,193.5
1986-01-31,196.92
1985-12-31,191.71
1985-11-30,185.62
1985-10-31,185.53
1985-09-30,188.95
1985-08-31,190.88
1985-07-31,203.63
1985-06-30,211.89
1985-05-31,211.76
1985-04-30,219.93
1985-03-31,216.24
1985-02-28,213.87
1985-01-31,215.75
1984-12-31,217.04
1984-11-30,225.67
1984-10-31,225.56
1984-09-30,222.96
1984-08-31,236.56
1984-07-31,245.17
1984-06-30,287.36
1984-05-31,312.24
1984-04-30,289.34
1984-03-31,286.61
1984-02-29,265.5
1984-01-31,276.04
1983-12-31,289.27
1983-11-30,299.93
1983-10-31,309.73
1983-09-30,329.05
1983-08-31,311.14
1983-07-31,242.28
1983-06-30,221.33
1983-05-31,228.38
1983-04-30,233.81
1983-03-31,219.08
1983-02-28,216.95
1983-01-31,214.44
1982-12-31,208.4
1982-11-30,207.85
1982-10-31,195.66
1982-09-30,200.07
1982-08-31,211.89
1982-07-31,226.39
1982-06-30,231.03
1982-05-31,241.68
1982-04-30,240.08
1982-03-31,227.14
1982-02-28,231.32
1982-01-31,233.97
1981-12-31,231.0
1981-11-30,236.54
1981-10-31,241.25
1981-09-30,242.81
1981-08-31,254.04
1981-07-31,268.12
1981-06-30,264.97
1981-05-31,278.22
1981-04-30,288.26
1981-03-31,272.48
1981-02-28,275.67
1981-01-31,283.48
1980-12-31,293.29
1980-11-30,334.91
1980-10-31,315.02
1980-09-30,303.3
1980-08-31,279.6
1980-07-31,273.72
1980-06-30,232.63
1980-05-31,225.9
1980-04-30,218.21
1980-03-31,227.08
1980-02-29,241.36
1980-01-31,238.77
